Oilseed Rape,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
South East and London,87994.92674116808,78206.28854591706,85017,94128.46172327442,101317.14649249989,97598,89339.24884434401,85513.40472396703,71461.80489888461,70255.99918061352,77938.431791,66620.95596793346,47408.1394285068,36555.313078240004,42492.69456587202,43946.026035342074,35543.64323381081,29811.312894199,-16.127582369381198,3419.10393339351
South West,49890.60868957757,47455.04668886729,54439,60392.9905010045,65085.68226918004,64544,58976.28807183053,58274.53512012139,50134.80333019072,54552.243084154274,53845.71254499997,47487.84719261212,29568.6092530804,23819.020905671157,31286.058206542,36801.22851729644,28209.66188882429,23681.2950575888,-16.0525384851543,2867.87961264592
Wales,3152,4013,5439,5215,5628,4679,5433,4812,5080,4348.234096965555,4707,4996,3023,4841,5031,7194,6005,[x],[x],[x]
Scotland,33623,29042.84,36002.09999999999,38387.93,36610.700000000004,33652.57,37073.439999999995,35796.799999999996,30731,34188.22,32737.960000000003,31855.160000000003,30910.08,33380.62,36151.65,40740.54,36667.96349999997,[x],[x],[x]
Northern Ireland,439.4,604.2,445.999999999997,577.4,806.9,472.5,493.9,608,552.1000000000001,738.4,758.4000000000001,769.8000000000001,805.37,850.47,832.5,851.53,800.32,[x],[x],[x]
tonnes/hectare,,,,,,,,,,,,,,,,,,,,
Yields (1) (2),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,3.2985264521608646,3.3551919612139107,3.4761210410557637,3.9149327824189135,3.38307121840132,2.9755146896677,3.6460827348104843,3.8984894533275205,3.0642332017282876,3.8525035636589506,3.449756676031678,3.3072196726263225,2.7333478463258545,3.189657040383371,3.731827840871836,3.1089928835357243,2.8459462563456555,[x],[x],[x]
England,3.287763828272416,3.34764487120265,3.4837549154352687,3.915938220432511,3.4155410810600784,3.0014094863672733,3.626620857940049,3.883974839803914,3.0500556863920485,3.8284772359911763,3.425692885544189,3.2682366536431986,2.6243384948367514,3.1125807908099064,3.6824870480579994,2.990802844988142,2.7395935145220465,3.544332258546329,29.37438491361968,0.0825572031358994
North East,3.1913271552271922,2.810200950676724,3.118404398995241,3.874963216793345,2.9188311104056965,2.53786308582923,3.670065822931874,4.304896576696454,2.951923082904576,3.7377543617839066,3.7212686163770443,3.6739279574030226,3.0426139315123106,3.617767631134218,3.986333411720255,3.526582890249988,2.134955070239854,3.74876294735499,75.58978170598381,0.3429866198538
